0: {wait: 0.0, buy: 0.0} => [wait, buy]
(13, 2): {wait: 2.015625, buy: 2.0} => [buy]
(13, 3): {wait: 3.0, buy: 3.0} => [wait, buy]
(13, 4): {wait: 4.0, buy: 4.0} => [wait, buy]
(13, 5): {wait: 5.0, buy: 5.0} => [wait, buy]
(13, 6): {wait: 6.0, buy: 6.0} => [wait, buy]
(13, 7): {wait: 7.0, buy: 7.0} => [wait, buy]
(13, 8): {wait: 8.0, buy: 8.0} => [wait, buy]
(13, 9): {wait: 9.0, buy: 9.0} => [wait, buy]
(13, 10): {wait: 10.0, buy: 10.0} => [wait, buy]
(13, 11): {wait: 11.0, buy: 11.0} => [wait, buy]
(13, 12): {wait: 12.0, buy: 12.0} => [wait, buy]
(13, 13): {wait: 13.0, buy: 13.0} => [wait, buy]
(13, 14): {wait: 14.0, buy: 14.0} => [wait, buy]
(13, 15): {wait: 15.0, buy: 15.0} => [wait, buy]
(13, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(13, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(13, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(13, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(13, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(13, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(13, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(13, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(13, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(13, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(13, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(13, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(13, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(13, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(13, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(13, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(13, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(13, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(13, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(13, 35): {wait: 35.0, buy: 35.0} => [wait, buy]
(13, 36): {wait: 36.0, buy: 36.0} => [wait, buy]
(13, 37): {wait: 37.0, buy: 37.0} => [wait, buy]
(13, 38): {wait: 38.0, buy: 38.0} => [wait, buy]
(13, 39): {wait: 39.0, buy: 39.0} => [wait, buy]
